condition,subject,sub_task,block,acc
4F4K_congruent,47,2,12,0.9
4F4K_congruent,47,2,13,0.875
4F4K_congruent,47,2,14,0.9230769230769231
4F4K_congruent,47,2,15,0.75
4F4K_congruent,51,1,0,0.5
4F4K_congruent,51,1,1,0.8461538461538461
4F4K_congruent,51,1,2,1.0
4F4K_congruent,51,1,3,0.6363636363636364
4F4K_congruent,51,1,4,0.8181818181818182
4F4K_congruent,51,1,5,0.9090909090909091
4F4K_congruent,51,1,6,0.6
4F4K_congruent,51,1,7,0.9090909090909091
4F4K_congruent,51,1,8,0.9285714285714286
4F4K_congruent,51,1,9,0.8333333333333334
4F4K_congruent,51,1,10,0.8181818181818182
4F4K_congruent,51,1,11,0.75
4F4K_congruent,51,1,12,0.7777777777777778
4F4K_congruent,51,1,13,1.0
4F4K_congruent,51,1,14,0.9
4F4K_congruent,51,1,15,1.0
4F4K_congruent,51,2,0,0.7333333333333333
4F4K_congruent,51,2,1,0.6666666666666666
4F4K_congruent,51,2,2,0.7692307692307693
4F4K_congruent,51,2,3,0.8571428571428571
4F4K_congruent,51,2,4,0.7142857142857143
4F4K_congruent,51,2,5,0.7857142857142857
4F4K_congruent,51,2,6,0.7
4F4K_congruent,51,2,7,1.0
4F4K_congruent,51,2,8,0.8181818181818182
4F4K_congruent,51,2,9,0.9230769230769231
4F4K_congruent,51,2,10,0.8571428571428571
4F4K_congruent,51,2,11,0.8235294117647058
4F4K_congruent,51,2,12,0.875
4F4K_congruent,51,2,13,0.9
4F4K_congruent,51,2,14,1.0
4F4K_congruent,51,2,15,0.9285714285714286
4F4K_congruent,55,1,0,0.6666666666666666
4F4K_congruent,55,1,1,0.25
4F4K_congruent,55,1,2,0.7857142857142857
4F4K_congruent,55,1,3,0.8
4F4K_congruent,55,1,4,1.0
4F4K_congruent,55,1,5,0.45454545454545453
4F4K_congruent,55,1,6,0.6363636363636364
4F4K_congruent,55,1,7,0.8333333333333334
4F4K_congruent,55,1,8,0.5454545454545454
4F4K_congruent,55,1,9,0.6666666666666666
4F4K_congruent,55,1,10,0.5
4F4K_congruent,55,1,11,0.625
4F4K_congruent,55,1,12,0.6
4F4K_congruent,55,1,13,0.75
4F4K_congruent,55,1,14,0.5294117647058824
4F4K_congruent,55,1,15,0.5
4F4K_congruent,55,2,0,0.6153846153846154
4F4K_congruent,55,2,1,0.5555555555555556
4F4K_congruent,55,2,2,0.36363636363636365
4F4K_congruent,55,2,3,0.8
4F4K_congruent,55,2,4,0.7647058823529411
4F4K_congruent,55,2,5,0.8571428571428571
4F4K_congruent,55,2,6,0.7142857142857143
4F4K_congruent,55,2,7,0.6923076923076923
4F4K_congruent,55,2,8,0.7142857142857143
4F4K_congruent,55,2,9,0.6153846153846154
4F4K_congruent,55,2,10,0.6153846153846154
4F4K_congruent,55,2,11,0.5882352941176471
4F4K_congruent,55,2,12,0.8666666666666667
4F4K_congruent,55,2,13,0.7647058823529411
4F4K_congruent,55,2,14,0.625
4F4K_congruent,55,2,15,0.6875
4F4K_congruent,59,1,0,0.7272727272727273
4F4K_congruent,59,1,1,0.38461538461538464
4F4K_congruent,59,1,2,0.6428571428571429
4F4K_congruent,59,1,3,0.7
4F4K_congruent,59,1,4,0.45454545454545453
4F4K_congruent,59,1,5,0.8235294117647058
4F4K_congruent,59,1,6,0.6666666666666666
4F4K_congruent,59,1,7,0.6666666666666666
4F4K_congruent,59,1,8,0.7777777777777778
4F4K_congruent,59,1,9,0.8
4F4K_congruent,59,1,10,0.6
4F4K_congruent,59,1,11,0.75
4F4K_congruent,59,1,12,1.0
4F4K_congruent,59,1,13,0.7142857142857143
4F4K_congruent,59,1,14,0.5
4F4K_congruent,59,1,15,0.7142857142857143
4F4K_congruent,59,2,0,0.5714285714285714
4F4K_congruent,59,2,1,0.5833333333333334
4F4K_congruent,59,2,2,0.5454545454545454
4F4K_congruent,59,2,3,0.5333333333333333
4F4K_congruent,59,2,4,0.5
4F4K_congruent,59,2,5,0.875
4F4K_congruent,59,2,6,0.5625
4F4K_congruent,59,2,7,0.38461538461538464
4F4K_congruent,59,2,8,0.875
4F4K_congruent,59,2,9,0.6
4F4K_congruent,59,2,10,0.7
4F4K_congruent,59,2,11,0.9230769230769231
4F4K_congruent,59,2,12,0.3333333333333333
4F4K_congruent,59,2,13,0.5454545454545454
4F4K_congruent,59,2,14,0.5454545454545454
4F4K_congruent,59,2,15,0.7
4F4K_congruent,63,1,0,0.5454545454545454
4F4K_congruent,63,1,1,0.5
4F4K_congruent,63,1,2,0.46153846153846156
4F4K_congruent,63,1,3,0.5625
4F4K_congruent,63,1,4,0.5714285714285714
4F4K_congruent,63,1,5,0.3333333333333333
4F4K_congruent,63,1,6,0.3333333333333333
4F4K_congruent,63,1,7,0.5
4F4K_congruent,63,1,8,0.7142857142857143
4F4K_congruent,63,1,9,0.5384615384615384
4F4K_congruent,63,1,10,0.8181818181818182
4F4K_congruent,63,1,11,1.0
