experiment,condition,subject,block,phase,acc
1,relearn,5,27,Test,0.6
1,relearn,5,28,Test,0.64
1,relearn,5,29,Test,0.48
1,relearn,5,30,Test,0.44
1,relearn,5,31,Test,0.48
1,relearn,5,32,Test,0.52
1,relearn,5,33,Test,0.68
1,relearn,5,34,Test,0.44
1,relearn,5,35,Test,0.375
1,relearn,7,0,Learn,0.72
1,relearn,7,1,Learn,0.88
1,relearn,7,2,Learn,0.8
1,relearn,7,3,Learn,0.72
1,relearn,7,4,Learn,0.84
1,relearn,7,5,Learn,0.92
1,relearn,7,6,Learn,0.92
1,relearn,7,7,Learn,0.72
1,relearn,7,8,Learn,0.92
1,relearn,7,9,Learn,0.8
1,relearn,7,10,Learn,0.84
1,relearn,7,11,Learn,1.0
1,relearn,7,12,Intervention,0.72
1,relearn,7,13,Intervention,0.48
1,relearn,7,14,Intervention,0.28
1,relearn,7,15,Intervention,0.36
1,relearn,7,16,Intervention,0.4
1,relearn,7,17,Intervention,0.44
1,relearn,7,18,Intervention,0.36
1,relearn,7,19,Intervention,0.44
1,relearn,7,20,Intervention,0.4
1,relearn,7,21,Intervention,0.64
1,relearn,7,22,Intervention,0.68
1,relearn,7,23,Intervention,0.52
1,relearn,7,24,Test,0.68
1,relearn,7,25,Test,0.88
1,relearn,7,26,Test,0.76
1,relearn,7,27,Test,0.68
1,relearn,7,28,Test,0.84
1,relearn,7,29,Test,0.88
1,relearn,7,30,Test,0.88
1,relearn,7,31,Test,0.8
1,relearn,7,32,Test,0.92
1,relearn,7,33,Test,0.88
1,relearn,7,34,Test,1.0
1,relearn,7,35,Test,1.0
1,relearn,9,0,Learn,0.72
1,relearn,9,1,Learn,0.4
1,relearn,9,2,Learn,0.36
1,relearn,9,3,Learn,0.6
1,relearn,9,4,Learn,0.4
1,relearn,9,5,Learn,0.6
1,relearn,9,6,Learn,0.56
1,relearn,9,7,Learn,0.48
1,relearn,9,8,Learn,0.52
1,relearn,9,9,Learn,0.52
1,relearn,9,10,Learn,0.6
1,relearn,9,11,Learn,0.44
1,relearn,9,12,Intervention,0.76
1,relearn,9,13,Intervention,0.48
1,relearn,9,14,Intervention,0.64
1,relearn,9,15,Intervention,0.64
1,relearn,9,16,Intervention,0.48
1,relearn,9,17,Intervention,0.52
1,relearn,9,18,Intervention,0.48
1,relearn,9,19,Intervention,0.48
1,relearn,9,20,Intervention,0.32
1,relearn,9,21,Intervention,0.56
1,relearn,9,22,Intervention,0.64
1,relearn,9,23,Intervention,0.68
1,relearn,9,24,Test,0.44
1,relearn,9,25,Test,0.6
1,relearn,9,26,Test,0.36
1,relearn,9,27,Test,0.4
1,relearn,9,28,Test,0.56
1,relearn,9,29,Test,0.44
1,relearn,9,30,Test,0.24
1,relearn,9,31,Test,0.6
1,relearn,9,32,Test,0.52
1,relearn,9,33,Test,0.6
1,relearn,9,34,Test,0.44
1,relearn,9,35,Test,0.2916666666666667
1,relearn,11,0,Learn,0.68
1,relearn,11,1,Learn,0.56
1,relearn,11,2,Learn,0.72
1,relearn,11,3,Learn,0.72
1,relearn,11,4,Learn,0.64
1,relearn,11,5,Learn,0.88
1,relearn,11,6,Learn,0.8
1,relearn,11,7,Learn,0.88
1,relearn,11,8,Learn,0.88
1,relearn,11,9,Learn,0.8
1,relearn,11,10,Learn,0.8
1,relearn,11,11,Learn,0.72
1,relearn,11,12,Intervention,0.68
1,relearn,11,13,Intervention,0.44
1,relearn,11,14,Intervention,0.68
1,relearn,11,15,Intervention,0.6
1,relearn,11,16,Intervention,0.76
1,relearn,11,17,Intervention,0.4
1,relearn,11,18,Intervention,0.64
1,relearn,11,19,Intervention,0.44
1,relearn,11,20,Intervention,0.44
1,relearn,11,21,Intervention,0.56
1,relearn,11,22,Intervention,0.56
1,relearn,11,23,Intervention,0.48
1,relearn,11,24,Test,0.68
1,relearn,11,25,Test,0.68
1,relearn,11,26,Test,0.52
1,relearn,11,27,Test,0.76
1,relearn,11,28,Test,0.72
1,relearn,11,29,Test,0.8
1,relearn,11,30,Test,0.8
1,relearn,11,31,Test,0.92
1,relearn,11,32,Test,0.56
1,relearn,11,33,Test,0.84
1,relearn,11,34,Test,0.68
1,relearn,11,35,Test,0.75
1,relearn,12,0,Learn,0.64
1,relearn,12,1,Learn,0.64
1,relearn,12,2,Learn,0.68
1,relearn,12,3,Learn,0.52
1,relearn,12,4,Learn,0.44
1,relearn,12,5,Learn,0.52
1,relearn,12,6,Learn,0.52
1,relearn,12,7,Learn,0.44
1,relearn,12,8,Learn,0.6
1,relearn,12,9,Learn,0.8
1,relearn,12,10,Learn,0.64
1,relearn,12,11,Learn,0.76
1,relearn,12,12,Intervention,0.76
1,relearn,12,13,Intervention,0.52
1,relearn,12,14,Intervention,0.56
1,relearn,12,15,Intervention,0.6
1,relearn,12,16,Intervention,0.6
1,relearn,12,17,Intervention,0.28
1,relearn,12,18,Intervention,0.48
1,relearn,12,19,Intervention,0.52
